GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
statisticsService,ru.netology.statistic,StatisticsService,0,33,0,4,0,7,0,4,0,2
statisticsService,ru.netology.stats,StatsService,0,160,0,18,0,37,0,16,0,7
